Test Case, Execution Time
Join 1-1 0%,117.2483
Join 1-1 25%,121.4465
Join 1-1 50%,125.6195
Join 1-1 75%,128.2438
Join 1-1 100%,132.2058
Join 1-10 0%,114.21
Join 1-10 25%,122.3961
Join 1-10 50%,125.8338
Join 1-10 75%,130.5132
Join 1-10 100%,134.0018
Join 1-5 50%,120.0322
Join 1-15 50%,126.7431
Join 1-20 50%,121.4805
Join 10-1 0%,112.2422
Join 10-1 25%,115.918
Join 10-1 50%,119.4677
Join 10-1 75%,121.1068
Join 10-1 100%,123.786
Join 5-1 50%,118.8572
Join 15-1 50%,118.9112
Join 20-1 50%,118.0494
Join 5-5 25%,123.9592
Join 5-5 50%,132.4381
Join 5-5 75%,140.6414
Join 5-5 100%,146.5654
Join 5-10 25%,121.665
Join 5-10 50%,130.287
Join 5-10 75%,139.151
Join 5-10 100%,144.7975
Join 10-5 25%,123.0714
Join 10-5 50%,131.934
Join 10-5 75%,140.6531
Join 10-5 100%,146.4818
